/Users/willy/Documents/TibaMe/web/venv/bin/python /Users/willy/Documents/TibaMe/Python/code/temp.py
PyETL 2019_12_29_1.mp4 https://cdn.tibame.com/course/616/videos/87c34a54-a4a0-437c-8ba3-d7eaa7cc8aee_GMT20191229-011301_104CLASS-T_1440x900.mp4
PyETL 2019_12_29_2.mp4 https://cdn.tibame.com/course/616/videos/4922a7e6-7853-4106-9086-0b079bf70014_GMT20191229-053114_104CLASS-T_1760x900.mp4
PyETL 2020_01_04_1.mp4 https://cdn.tibame.com/course/616/videos/685b0b38-f61e-4713-9664-6ccb1b299f6d_GMT20200104-010105_104CLASS-T_1440x900.mp4
PyETL 2020_01_04_2.mp4 https://cdn.tibame.com/course/616/videos/d149a8bd-14cd-424a-99e6-489a92bec808_GMT20200104-051723_104CLASS-T_1440x900.mp4
Python 2019_12_20_1.mp4 https://cdn.tibame.com/course/614/videos/c49cad09-1322-4e05-baa2-5b045ed0fe36_GMT20191220-011843_104CLASS-T_1920x1080.mp4
Python 2019_12_27_1.mp4 https://cdn.tibame.com/course/614/videos/018e9967-b770-4e47-a1e5-b7223309af65_GMT20191227-053103_104CLASS-T_1920x1080.mp4
Python 2019_12_28_1.mp4 https://cdn.tibame.com/course/614/videos/d6b311ae-2dc5-4e0e-a457-cf5808b13ae6_GMT20191228-010612_104CLASS-T_1920x1080.mp4
Python 2019_12_20_2.mp4 https://cdn.tibame.com/course/614/videos/c9b78777-e9cc-405e-a5d2-1f7c79d3c5cf_GMT20191220-053326_104CLASS-T_1920x1080.mp4
Python 2019_12_24_1.mp4 https://cdn.tibame.com/course/614/videos/590c2157-7956-4b84-8de0-b758923753f6_GMT20191224-010948_104CLASS-T_1920x1080.mp4
Python 2019_12_24_2.mp4 https://cdn.tibame.com/course/614/videos/6ea35d77-2e61-446e-8dd0-37690be2e64e_GMT20191224-053101_104CLASS-T_1920x1080.mp4
Python 2019_12_27_1.mp4 https://cdn.tibame.com/course/614/videos/dfd16c1c-47a4-43fb-8961-83c4a5ae8045_GMT20191227-010104_104CLASS-T_1920x1080.mp4
Python 2019_12_28_1.mp4 https://cdn.tibame.com/course/614/videos/c56778bc-1c0f-4462-b98a-7a47291ec85a_GMT20191228-053441_104CLASS-T_1920x1080.mp4
R 2020_01_07_1.mp4 https://cdn.tibame.com/course/618/videos/42c8b042-f41c-4dbf-9590-a4124d2c3db3_GMT20200107-010217_104CLASS-T_1440x900.mp4
R 2020_01_07_2.mp4 https://cdn.tibame.com/course/618/videos/8c35680d-b5e4-45ff-afd9-eba775db2c31_GMT20200107-054029_104CLASS-T_1440x900.mp4
